cad0,cad1,cad2,cad3,cad4,cad5,cad6,cad7,cad8,cad9,dv0,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,y
1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,49
1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-102
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-137
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-150
1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,-42
1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,-104
1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,-57
1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,169
1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,39
1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,-412
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,-138
1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,-6
1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,-116
1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,-85
1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,2
1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,-60
1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,18
1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,-108
1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,-252
1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,-10
1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,140
1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,106
1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,-172
1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,-281
1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-56
1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,75
1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,74
1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,16
1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,39
1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,-222
1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,-50
1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,-184
1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,-58
1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,-11
1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,-52
1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,44
1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,8
1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,-77
1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,-371
1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,135
1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,-231
1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,-137
1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,-106
1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,-81
1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,-187
1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,4
1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,183
1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,49
1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-109
1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,83
1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,-38
1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,112
1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,23
1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,-133
1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,62
1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,280
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-407
1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,111
1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,-30
1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,48
1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,24
1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,-100
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-212
1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,86
1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,23
1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,360
1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,32
1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,102
1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,143
1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,73
1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,-8
1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,51
1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,128
1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,-10
1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,-125
1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,308
1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,12
1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,-18
1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,-266
1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,-78
1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,-272
1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,-18
1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,2
1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,-35
1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,31
1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,-122
1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,4
1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,171
1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,45
1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,76
1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,-25
1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,43
1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,147
1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,131
1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,167
1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,268
1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,93
1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,102
1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,-32
1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,96
1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,-47
1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,-123
1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-36
1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,-101
1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,47
1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,-63
1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,291
1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,74
1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,238
1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,300
1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,116
1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,36
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,-164
1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,-4
1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,-133
1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,113
1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,129
1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,79
1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,59
1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,-57
1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-138
1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,-31
1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,-259
1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,232
1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,-181
1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,-10
1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,136
1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,82
1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,-325
1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,-96
1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,37
1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,-148
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,-103
1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,-41
1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,60
1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,12
1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,-20
1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,-263
1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,-140
1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,234
1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,167
1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,-133
1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,-66
1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,-64
1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,353
1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,-193
1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,35
1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,-200
1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,38
1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,-89
1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,-159
1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,306
1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,-111
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,-30
1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-118
1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,55
1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,37
1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,-232
1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,-158
1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,194
1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,-51
1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,-125
1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,6
1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,33
1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,19
1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,127
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,-359
1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,244
1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,99
1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-154
1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,171
1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,-267
1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,111
1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,-38
1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,198
1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,-170
1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,-137
1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,184
1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,165
1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,-147
1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,119
1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,-4
1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,24
1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,-28
1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,26
1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,-122
1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,-162
1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,-63
1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,72
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-372
1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,-31
1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,8
1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-109
1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,95
1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,6
1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,91
1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,111
1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,-91
1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,116
1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-279
1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,37
1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,75
1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,-18
1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,-114
1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,-75
1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,-24
1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,-38
1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,-367
1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,-115
1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,99
1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,48
1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,70
1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,-61
1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,-113
1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,-120
1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,104
1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,163
1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,-120
1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-403
1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,42
1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,318
1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,-1
1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,-10
1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,162
1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,-195
1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,277
1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,-91
1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,31
1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,2
1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,-85
1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,-62
1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-127
1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,30
1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,181
1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,79
1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,91
1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,102
1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,181
1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,6
1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,-125
1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,-226
1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,-391
1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,48
1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,-114
1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,-63
1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,44
1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,-73
1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,62
1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,145
1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,-1
1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,-53
1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,-107
1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,102
1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,2
1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,-130
1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,-60
1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,112
1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,47
1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,-21
1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,-153
1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,378
1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-179
1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,-58
1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,16
1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,46
1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,136
1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,-79
1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,-23
1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,-140
1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,-280
1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-19
1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,149
1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,-133
1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,-285
1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,-32
1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,178
1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,17
1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,-289
1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,-289
1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,129
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-101
1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,-84
1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,15
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,53
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-235
1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,-100
1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,66
1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,25
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-160
1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,38
1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,265
1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,-446
1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-119
1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,-39
1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,268
